_id	Ven_Machine	Credit	Unit
660515a0f9328322046690ae	ven408騰訊云國際站備用金【充值群-海爾雲端科技公司 Hanson】	4073.04	USD
660515a0f9328322046690af	ven414騰訊云國際站備用金【充值群-海爾雲端科技公司 Hanson】	4990.74	USD
660515a0f9328322046690b0	ven415騰訊云國際站備用金【充值群-海爾雲端科技公司 Hanson】	4547.46	USD
660515a0f9328322046690b1	ven418騰訊云國際站備用金【充值群-海爾雲端科技公司 Hanson】	2000	USD
660515a0f9328322046690b2	ven327騰訊云國際站備用金【充值群-海爾雲端科技公司 Hanson】	764.88	USD
660515a0f9328322046690b3	ven328騰訊云國際站備用金【充值群-海爾雲端科技公司 Hanson】	782.69	USD
660515a0f9328322046690b4	ven322騰訊云備用金	5000.93	USD
660515a0f9328322046690b5	ven366 騰訊雲備用金【充值群-Dora UCloud 騰訊雲】	999.77	USD
660515a0f9328322046690b6	ven236華為雲帳戶備用金【充值群-創利Karyn 華為雲】	3469.97	USD
660515a0f9328322046690b7	ven237華為雲帳戶備用金【充值群-創利Karyn 華為雲】	6242.35	USD
660515a0f9328322046690b8	ven239華為雲帳戶備用金【充值群-創利Karyn 華為雲】	6500	USD
660515a0f9328322046690b9	ven267華為雲帳戶備用金【充值群-創利Karyn 華為雲】	9973.84	USD
660515a0f9328322046690ba	ven268華為雲帳戶備用金【充值群-創利Karyn 華為雲】	5000	USD
660515a0f9328322046690bb	ven273華為雲帳戶備用金【充值群-創利Karyn 華為雲】	3443.38	USD
660515a0f9328322046690bc	ven385華為雲帳戶備用金【充值群-創利Karyn 華為雲】	4931.29	USD
660515a0f9328322046690bd	ven399華為雲帳戶備用金【充值群-創利Karyn 華為雲】	3465.7	USD
660515a0f9328322046690be	ven400華為雲帳戶備用金【充值群-創利Karyn 華為雲】	14000	USD
660515a0f9328322046690bf	ven405華為雲帳戶備用金【充值群-創利Karyn 華為雲】	763.99	USD
660515a0f9328322046690c0	ven410華為雲帳戶備用金【充值群-創利Karyn 華為雲】	2800.48	USD
661728143db8585a9ee41be9	ven411華為雲帳戶備用金【充值群-創利Karyn 華為雲】	63	USD
660515a0f9328322046690c1	ven303華為雲帳戶備用金【充值群-海爾雲端科技公司 Hanson】	19980.67	USD
660515a0f9328322046690c2	ven307華為雲備用金【充值群-海爾雲端科技公司 Hanson】	20000	USD
660515a0f9328322046690c3	ven342華為雲帳戶備用金【充值群-海爾雲端科技公司 Hanson】	9999.82	USD
660515a0f9328322046690c4	ven345華為雲帳戶備用金【充值群-海爾雲端科技公司 Hanson】	9999.99	USD
660515a0f9328322046690c5	ven420 華為雲國際站備用金【DK0348_Dos3 華為雲充值群 - D1】	2459.67	USD
660515a0f9328322046690c6	ven425 華為雲國際站備用金【DK0348_Dos3 華為雲充值群 - D1】	2648.85	USD
660515a0f9328322046690c7	ven28 UCloud備用金	3658.89	USD
660515a0f9328322046690c8	ven281 UCLOUD備用金【充值群-Dora UCloud 百度雲】	6584.04	USD
660515a0f9328322046690c9	ven283 UCLOUD備用金【充值群-Dora UCloud 百度雲】	81.16	USD
660515a0f9328322046690ca	ven284 UCLOUD備用金【充值群-Dora UCloud 百度雲】	218.68	USD
660515a0f9328322046690cb	Gname ven332備用金	389.12	USD
660515a0f9328322046690cc	Gname ven417備用金	300	USD
